뜻,단어
유산하다,abort
불합리한,absurd
일치하다,accord
축적하다,accumulate
알리다,acquaint
획득,acquisition
거꾸로의,adverse
미적인,aesthetic
회원으로 가입시키다,affiliate
할당하다,allocate
확대하다,amplify
기록보관소,archive
습격,assault
변호사,attorney
진짜의,authentic
파산자,bankrupt
주교,bishop
돌풍,blast
기르다,breed
양조하다,brew
야수 짐승같은,brute
부피,bulk
표제,caption
음식물을 마련하다,cater
대성당,cathedral
방,chamber
만성의,chronic
시작하다,commence
상품,commodity
양립할 수 있는,compatible
억지로 -시키다,compel
배상하다,compensate
편찬하다,compile
구성하는 성분,component
성분 등을 혼합하다,compound
포함하다,comprise
타협 타협하다,compromise
의무적인,compulsory
상상하다,conceive
나무라다,condemn
주다,confer
(의견 등의)일치,consensus
승낙하다,consent
보존하다,conserve
구성하다,constitute
강제하다,constrain
현대의,contemporary
싸우다,contend
반박하다,contradict
관례,convention
바꾸다,convert
동격의,coordinate
복도,corridor
부본,counterpart
주,county
시내,creek
기다,creep
criterion의 복수형,criteria
통용,currency
과목,curriculum
저주,curse
보호,custody
냉소적인,cynical
점잖은,decent
봉납하다,dedicate
결핍,deficiency
결손,deficit
지위를 낮추다,degrade
파견하다,delegate
숙고하다,deliberate
묘사하다,depict
예금,deposit
빼앗다,deprive
가리키다,designate
당뇨병,diabetes
받아쓰게 하다,dictate
위엄,dignity
치수,dimension
저녁식사를 하다,dine
짐을부리다,discharge
강연,discourse
분별하다,discriminate
바꾸어놓다,displace
논쟁하다,dispute
분열시키다,disrupt
찌그러뜨리다,distort
신의,divine
우세한,dominant
1회복용량 투약하다,dose
초고,draft
배수하다,drain
두려워하다 두려움,dread
둘의,dual
공들인,elaborate
포옹하다,embrace
방사하다,emit
실시하다,enforce
명부에 올리다,enroll
자격을 주다,entitle
같게하다,equate
똑바로 선,erect
토지,estate
도덕상의,ethical
인종의,ethnic
비우다,evacuate
배타적인,exclusive
집행의,executive
대가의 의견,expertise
명백한,explicit
뽑아내다,extract
이상한,extraordinary
쉽게하다,facilitate
능력,faculty
치명적인,fatal
연방의,federal
비옥한,fertile
달아나다,flee
튀기다 홱 움직이다 튀기기,flip
유동성의,fluid
왈칵흐르다,flush
좋아하는,fond
공식,formula
기르다,foster
분수,fraction
서리,frost
노하여 펄펄뛰는,furious
공급하다,furnish
신관,fuse
가솔린,gasoline
지켜보다,gaze
낳다,generate
번쩍이는 빛,glare
흘끗 봄,glimpse
붙잡다,grasp
총계의,gross
보호자,guardian
만,gulf
(동물의)자연번식지,habitat
멈춰서다,halt
자주가다,haunt
본부,headquarters
상속인,heir
그러므로,hence
세습 재산,heritage
갈고리,hook
뿔,horn
볼모,hostage
반대하는,hostile
가설,hypothesis
공리,ideology
환영,illusion
무한한,immense
이주하다,immigrate
기구,implement
함축하다,imply
부과하다,impose
기울이다,incline
합동시키다,incorporate
색인,index
꾀다,induce
피할 수 없는,inevitable
감염시키다,infect
추론하다,infer
부풀게 하다,inflate
생태의,inherent
금하다,inhibit
묻다,inquire
통합하다,integrate
사이에 들다,intervene
음모,intrigue
사법의,judicial
날카로운,keen
매듭(=tie),knot
임대차,lease
법률을 제정하다,legislate
합법의,legitimate
문자의,literal
혼자의,lone
덩어리,lump
장대한,magnificent
명백히 하다,manifest
(손으로)다루다,manipulate
그동안,meanwhile
중세(풍)의,medieval
단순한,mere
합병하다,merge
수도권(의),metropolitan
이주하다,migrate
조롱하다,mock
절제하는,moderate
겸손한,modest
변경하다,modify
분자,molecule
기념비,monument
죽을운명의,mortal
상호의,mutual
소박한,naive
유모,nanny
불쾌한,nasty
추천하다,nominate
역시,nonetheless
표준,norm
"n,관념",notion
"다 수의, 수많은, 셀 수 없이 많은",numerous
수녀 집비둘기의 일종,nun
(의무를)별수없이 -하게하다,oblige
늘러붙다,obsess
궤도,orbit
삵괭이,ounce
불법(적인 행위),outrage
압도하다,overwhelm
판벽널,panel
평행의,parallel
의회,parliament
입자,particle
톡톡 가볍게 치다,pat
깁는 헝겊,patch
전매특허권 전매특허의,patent
순회,patrol
(도로를)포장하다,pave
농부,peasant
고집하다,persist
원근법의 원근 화법,perspective
국면,phase
꼬집다,pinch
던지다,pitch
